Raw Key,Mapping Key,Remarks(不处理 可为空)
breakthrough_factor,MODIFIER_BREAKTHROUGH,突破
shore_bombardment_bonus,MODIFIER_SHORE_BOMBARDMENT,对岸炮击加成
monthly_population,MODIFIER_GLOBAL_MONTHLY_POPULATION,每月人口
conscription,MODIFIER_CONSCRIPTION_FACTOR,适役人口
refit_ic_cost,MODIFIER_INDUSTRIAL_REFIT_IC_COST_FACTOR,舰艇改装花费
experience_gain_factor,MODIFIER_XP_GAIN_FACTOR,指挥官经验增长
resistance_damage_to_garrison,MODIFIER_RESISTANCE_DAMAGE_TO_GARRISONS,驻军所受伤害
generate_wargoal_tension_against,MODIFIER_GENERATE_WARGOAL_TENSION_LIMIT,制造战争目标的紧张度限制
attack_bonus_against,MODIFIER_ATTACK_BONUS_AGAINST_A_COUNTRY,我国对其进攻加成(目标修正本地化查找是否应该写入代码中?)
defense_bonus_against,MODIFIER_DEFENSE_BONUS_AGAINST_A_COUNTRY,我国对其防御加成
naval_attrition,MODIFIER_NAVAL_ATTRITION_FACTOR,损耗
breakthrough_bonus_against,MODIFIER_BREAKTHROUGH_BONUS_AGAINST_A_COUNTRY,我国对其突破修正
compliance_gain,MODIFIER_COMPLIANCE_GAIN_ADD,每日顺从度增长
experience_gain_air_factor,experience_gain_air,空军经验增长
army_strength_factor,MODIFIER_ARMY_STRENGTH,HP
navy_visibility,MODIFIER_NAVAL_VISIBILITY_FACTOR,可见度
navy_carrier_air_targetting_factor,MODIFIER_NAVAL_CARRIER_AIR_TARGETTING_FACTOR,航母舰载机对空瞄准
sortie_efficiency,CARRIER_SORTIE_EFFICIENCY_FACTOR,出击效率
ships_at_battle_start,MODIFIER_SHIPS_AT_BATTLE_START_FACTOR,最早接战时的参战舰艇数
fighter_sortie_efficiency,MODIFIER_CARRIER_FIGHTER_SORTIE_EFFICIENCY_FACTOR,战斗机出击效率
max_training,MODIFIER_MAX_TRAINING_XP_FACTOR,最大训练
navy_carrier_air_attack_factor,MODIFIER_NAVAL_CARRIER_AIR_ATTACK_FACTOR,航母舰载机对空攻击
navy_carrier_air_agility_factor,MODIFIER_NAVAL_CARRIER_AIR_AGILITY_FACTOR,航母舰载机机动
port_strike,MODIFIER_PORT_STRIKE_ATTACK_FACTOR,港口袭击
air_maximum_speed_factor,MODIFIER_AIR_MAX_SPEED_FACTOR,空军最大速度
air_strategic_bomber_defence_factor,MODIFIER_STRATEGIC_BOMBER_BOMBING_FACTOR,战略轰炸
air_strategic_bomber_night_penalty,MODIFIER_AIR_STRAT_BOMBER_NIGHT_PENALTY,夜间战略轰炸惩罚
experience_gain_air_factor,MODIFIER_XP_GAIN_AIR_FACTOR,空军经验增长
strategic_bomb_visibility,MODIFIER_STRAT_BOMBING_VISIBILITY,战略轰炸可见度
river_crossing_factor,MODIFIER_RIVER_CROSSING_PENALTY_FACTOR,跨河速度惩罚
experience_gain_army_unit_factor,MODIFIER_XP_GAIN_ARMY_UNIT_FACTOR,陆军师经验增长
experience_gain_army_unit,MODIFIER_XP_GAIN_ARMY_UNIT,陆军师经验增长
extra_trade_to_overlord_factor,MODIFIER_TRADE_TO_OVERLORD_FACTOR,对宗主国额外贸易
base_fuel_gain,MODIFIER_BASE_FUEL_GAIN_FACTOR,基础燃油增长
ap_attack,STAT_COMMON_PIERCING,穿甲深度
max_commander_army_size,MODIFIER_COMMAND_CAP,指挥上限
foreign_subversive_activites,MODIFIER_FOREIGN_SUBVERSIVE_ACTIVITIES,外来颠覆活动效率
air_close_air_support_org_damage_factor,MODIFIER_AIR_CAS_ORG_DAMAGE_FACTOR,近距支援机组织度伤害
supply_consumption,MODIFIER_SUPPLY_CONSUMPTION,补给消耗
suppression,STAT_ARMY_SUPRESSION,镇压能力
initiative,STAT_ARMY_INITIATIVE,主动性
