Key,Format Info,Remarks(可选)
MODIFIER_INDUSTRIAL_REFIT_IC_COST_FACTOR,+%,舰艇改装花费
MODIFIER_GENERATE_WARGOAL_TENSION_LIMIT,-%,制造战争目标的紧张度限制
MODIFIER_GENERATE_WARGOAL_TENSION_LIMIT_AGAINST_COUNTRY,-%,对该国制造战争目标的紧张度限制
MODIFIER_ATTACK_BONUS_AGAINST_A_COUNTRY,=+%1,我国对其进攻加成
MODIFIER_DEFENSE_BONUS_AGAINST_A_COUNTRY,=+%1,我国对其防御加成
MODIFIER_NAVAL_ATTRITION_FACTOR,=-%1,损耗
attrition,=-1%2,每日装备损耗几率
no_supply_grace,+=1,携行补给
MODIFIER_BREAKTHROUGH_BONUS_AGAINST_A_COUNTRY,+=%1,我国对其突破修正
operation_outcome,+%0,行动效率
operation_cost,-%0,行动花费
MODIFIER_COMPLIANCE_GAIN_ADD,+=%.0,每日顺从度增长
political_power_cost,-=2,每日消耗的政治点数
MODIFIER_GLOBAL_MONTHLY_POPULATION,+=%1,每月人口
CIVILIAN_FACTORY_USE,-=0,民用工厂运作
MODIFIER_CARRIER_FIGHTER_SORTIE_EFFICIENCY_FACTOR,+=%1,战斗机出击效率
MODIFIER_SHIPS_AT_BATTLE_START_FACTOR,=+%1,最早接战时的参战舰艇数
MODIFIER_AIR_STRAT_BOMBER_NIGHT_PENALTY,-%,夜间战略轰炸惩罚
MODIFIER_COMMAND_CAP,=+0,指挥上限
STAT_COMMON_PIERCING,=+%,穿甲深度
MODIFIER_FOREIGN_SUBVERSIVE_ACTIVITIES,=-%,外来颠覆活动效率
MODIFIER_SUPPLY_CONSUMPTION,-,补给消耗
